year,region,n_train,n_test,pred_file,status,error_msg
2022,0,966,185,predictions_2022_0.csv,success,
2022,1,1761,1221,predictions_2022_1.csv,success,
2022,2,4629,1749,predictions_2022_2.csv,success,
2022,3,1008,375,predictions_2022_3.csv,success,
2022,4,1942,584,predictions_2022_4.csv,success,
2022,5,253,102,predictions_2022_5.csv,success,
2023,0,1075,400,predictions_2023_0.csv,success,
2023,1,2390,1411,predictions_2023_1.csv,success,
2023,2,5164,2035,predictions_2023_2.csv,success,
2023,3,1029,262,predictions_2023_3.csv,success,
2023,4,1976,719,predictions_2023_4.csv,success,
2023,5,277,109,predictions_2023_5.csv,success,
2024,0,719,406,predictions_2024_0.csv,success,
2024,1,3063,1046,predictions_2024_1.csv,success,
2024,2,5347,1795,predictions_2024_2.csv,success,
2024,3,919,321,predictions_2024_3.csv,success,
2024,4,2134,651,predictions_2024_4.csv,success,
2024,5,301,85,predictions_2024_5.csv,success,
