year,region,n_train,n_test,pred_file,status,error_msg,accuracy,sensitivity,precision,r2_phase3plus,metrics_file
2022,0,966,185,predictions_2022_0.csv,success,,,,,,
2022,1,1378,492,predictions_2022_1.csv,success,,,,,,
2022,2,4332,1700,predictions_2022_2.csv,success,,,,,,
2022,3,1008,375,predictions_2022_3.csv,success,,,,,,
2022,4,1942,584,predictions_2022_4.csv,success,,,,,,
2022,5,253,102,predictions_2022_5.csv,success,,,,,,
2022,6,297,49,predictions_2022_6.csv,success,,,,,,
2022,7,383,729,predictions_2022_7.csv,success,,,,,,
2022,8,0,0,,error,No training samples,,,,,
2023,0,1075,397,predictions_2023_0.csv,success,,,,,,
2023,1,1424,393,predictions_2023_1.csv,success,,,,,,
2023,2,4918,1938,predictions_2023_2.csv,success,,,,,,
2023,3,1029,262,predictions_2023_3.csv,success,,,,,,
2023,4,1976,719,predictions_2023_4.csv,success,,,,,,
2023,5,277,109,predictions_2023_5.csv,success,,,,,,
2023,6,246,97,predictions_2023_6.csv,success,,,,,,
2023,7,966,1018,predictions_2023_7.csv,success,,,,,,
2023,8,0,3,,error,No training samples,,,,,
2024,0,716,395,predictions_2024_0.csv,success,,,,,,
2024,1,1227,336,predictions_2024_1.csv,success,,,,,,
2024,2,5104,1697,predictions_2024_2.csv,success,,,,,,
2024,3,919,321,predictions_2024_3.csv,success,,,,,,
2024,4,2134,651,predictions_2024_4.csv,success,,,,,,
2024,5,301,85,predictions_2024_5.csv,success,,,,,,
2024,6,243,98,predictions_2024_6.csv,success,,,,,,
2024,7,1836,710,predictions_2024_7.csv,success,,,,,,
2024,8,3,11,predictions_2024_8.csv,success,,,,,,
